epoch,train_loss,train_acc,val_loss,val_acc,lr,avg_grad_norm,epoch_time
1,0.296416,0.9662,0.103499,0.9678,0.001,1.293424,99.11
2,0.083235,0.9762,0.0735,0.9786,0.001,0.702159,96.02
3,0.060074,0.9828,0.062247,0.9818,0.001,0.609276,116.29
4,0.049521,0.9864,0.052305,0.9832,0.001,0.563514,96.12
5,0.041312,0.984,0.052992,0.9828,0.001,0.520423,105.24
6,0.035256,0.9888,0.048404,0.9856,0.001,0.467956,95.37
7,0.030672,0.9912,0.046207,0.9858,0.001,0.444438,98.73
8,0.027991,0.99,0.050031,0.9842,0.001,0.427908,95.22
9,0.0238,0.9926,0.043195,0.9864,0.001,0.388714,109.09
10,0.022565,0.9936,0.039701,0.9884,0.001,0.391178,107.96
11,0.021135,0.992,0.045619,0.9846,0.001,0.393452,130.43
12,0.017653,0.9952,0.048402,0.9854,0.001,0.353783,104.03
13,0.016672,0.9944,0.046146,0.9862,0.001,0.357208,103.33
14,0.015921,0.9944,0.039386,0.988,0.001,0.344396,116.13
15,0.014719,0.996,0.034935,0.9888,0.001,0.328531,109.17
16,0.01565,0.9964,0.032975,0.9898,0.001,0.343978,103.67
17,0.015521,0.9944,0.037352,0.9876,0.001,0.339939,122.33
18,0.010488,0.9968,0.050006,0.9866,0.001,0.278078,412.27
19,0.012633,0.997,0.039937,0.9884,0.001,0.305139,94.13
20,0.012885,0.9964,0.040982,0.99,0.001,0.318269,98.54
21,0.010608,0.996,0.038145,0.9872,0.001,0.277343,101.79
